id,sentence,difficulty,difficulty_encoded,sentence_length,word_count,average_word_length,pos_tags,unique_word_count,type_token_ratio,clause_count,long_word_count,sentence_length_words,long_sentence
21,"Sans plus d'hésitation, il tourna vers la gauche ; son pas sonnait sur la terre durcie, et ce bruit cadencé, monotone, assoupissait en le berçant, le tumulte de son esprit.",C2,5,172,30,4.766666666666667,"Counter({'NOUN': 8, 'PUNCT': 7, 'DET': 7, 'ADP': 6, 'VERB': 5, 'ADV': 2, 'PRON': 1, 'CCONJ': 1})",27,0.9,6,5,30,1
22,"Comme le signale l'expression ""lingua franca"", le français a été pendant très longtemps la langue internationale, eu égard à notre rayonnement politique aussi bien que culturel",C2,5,176,26,5.8076923076923075,"Counter({'NOUN': 7, 'DET': 5, 'PUNCT': 4, 'ADV': 4, 'VERB': 3, 'SCONJ': 2, 'AUX': 2, 'ADP': 2, 'ADJ': 2})",25,0.9615384615384616,2,8,26,1
23,Je ne t'ai pas téléphoné parce que j'ai eu trop de travail.,B1,2,59,12,4.0,"Counter({'PRON': 3, 'ADV': 3, 'AUX': 2, 'VERB': 2, 'SCONJ': 2, 'ADP': 1, 'NOUN': 1, 'PUNCT': 1})",12,1.0,0,2,12,0
24,C'est peut-être ça que vous cherchez ?,A2,1,38,7,4.571428571428571,"Counter({'PRON': 3, 'AUX': 1, 'ADV': 1, 'SCONJ': 1, 'VERB': 1, 'PUNCT': 1})",7,1.0,0,2,7,0
25,"Qu'est-ce qui peut bien poser problème dans ces petits livrets pourtant plutôt attractifs pour que seuls 23, 4 % de leurs détenteurs arrivent au bout ?",C2,5,151,26,4.846153846153846,"Counter({'NOUN': 5, 'PRON': 4, 'ADP': 4, 'VERB': 3, 'ADV': 3, 'ADJ': 3, 'DET': 2, 'PUNCT': 2, 'AUX': 1, 'SCONJ': 1, 'NUM': 1})",26,1.0,1,6,26,1
26,Je consulte d'habitude ma messagerie. Et puis je prends un café.,A1,0,64,11,4.909090909090909,"Counter({'NOUN': 3, 'PRON': 2, 'VERB': 2, 'DET': 2, 'PUNCT': 2, 'CCONJ': 2, 'ADP': 1})",11,1.0,0,3,11,0
27,Nous sommes en train de dîner.,A2,1,30,6,4.166666666666667,"Counter({'ADP': 2, 'PRON': 1, 'AUX': 1, 'NOUN': 1, 'VERB': 1, 'PUNCT': 1})",6,1.0,0,0,6,0
28,"En fait, je trouve que l'éducation est une bonne chose.",B1,2,55,10,4.6,"Counter({'NOUN': 3, 'PUNCT': 2, 'DET': 2, 'ADP': 1, 'PRON': 1, 'VERB': 1, 'SCONJ': 1, 'AUX': 1, 'ADJ': 1})",10,1.0,1,1,10,0
29,As-tu besoin de quelque chose?,A1,0,30,5,5.2,"Counter({'NOUN': 4, 'PROPN': 1, 'ADP': 1, 'DET': 1, 'PUNCT': 1})",5,1.0,0,0,5,0
30,"Perpétuel clandestin, c'est muni d'un faux titre de séjour, photocopie de la carte de résident d'un copain-complice, qu'il avait ensuite sillonné l'Hexagone, au bon vouloir d'employeurs peu scrupuleux.",C1,4,201,28,6.214285714285714,"Counter({'NOUN': 9, 'ADP': 7, 'PUNCT': 5, 'ADJ': 4, 'DET': 4, 'PRON': 3, 'VERB': 3, 'ADV': 3, 'AUX': 2, 'PROPN': 1})",25,0.8928571428571429,4,9,28,1
31,"Le mariage mixte apparaît comme le lieu privilégié ou les cultures s'affrontent, dialoguent et se fondent.",B2,3,106,16,5.6875,"Counter({'NOUN': 4, 'DET': 3, 'ADJ': 2, 'VERB': 2, 'CCONJ': 2, 'PRON': 2, 'PUNCT': 2, 'ADP': 1, 'ADV': 1})",16,1.0,1,6,16,1
32,"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche",B2,3,100,16,5.3125,"Counter({'PROPN': 4, 'ADP': 3, 'NOUN': 3, 'DET': 2, 'ADJ': 2, 'PUNCT': 1, 'VERB': 1, 'ADV': 1})",16,1.0,1,4,16,1
33,"La chronologie antique ne prend sens que sur un large pourtour de la Méditerranée, de même que ce découpage spatial n'est pertinent comme entité géographique que durant cette période pendant laquelle la mer intérieure n'est pas vécue comme une limite.",C2,5,251,40,5.3,"Counter({'NOUN': 8, 'DET': 7, 'ADP': 7, 'ADV': 6, 'ADJ': 4, 'SCONJ': 3, 'VERB': 2, 'PUNCT': 2, 'AUX': 2, 'PROPN': 1, 'PRON': 1, 'NUM': 1})",34,0.85,1,8,40,1
34,"En voici un des moins obscurs : ""Plus nous devenons maîtres de la biosphère, plus nous en devenons dépendants ; plus nous la dégradons, plus nous dégradons nos vies5.",C2,5,166,29,4.758620689655173,"Counter({'PUNCT': 6, 'ADV': 5, 'PRON': 5, 'VERB': 4, 'DET': 4, 'NOUN': 4, 'ADP': 3, 'ADJ': 2})",22,0.7586206896551724,4,6,29,1
35,"C'est le début de troubles qui se poursuivent et s'étendent au reste du territoire tout au long du mois de septembre les fameuses ""Journées de septembre"" amplifiés le refus de Guillaume 1er de considérer les revendications des insurgés",B2,3,235,38,5.2105263157894735,"Counter({'NOUN': 13, 'ADP': 10, 'PRON': 4, 'DET': 4, 'VERB': 4, 'PUNCT': 2, 'AUX': 1, 'CCONJ': 1, 'ADV': 1, 'PROPN': 1, 'ADJ': 1})",30,0.7894736842105263,0,13,38,1
36,Les filles s'étaient fait des colliers en fruits rouges qui ressemblaient à des perles.,B2,3,87,14,5.285714285714286,"Counter({'NOUN': 4, 'DET': 3, 'PRON': 2, 'VERB': 2, 'ADP': 2, 'AUX': 1, 'ADJ': 1, 'PUNCT': 1})",13,0.9285714285714286,0,3,14,0
37,Je reste avec toi.,A1,0,18,4,3.75,"Counter({'PRON': 1, 'VERB': 1, 'ADP': 1, 'NOUN': 1, 'PUNCT': 1})",4,1.0,0,0,4,0
38,Un revenu devient donc une nécessité pour que l'Homme puisse accéder à la satisfaction d'avoir comblé ses désirs,C2,5,112,18,5.277777777777778,"Counter({'DET': 5, 'NOUN': 5, 'VERB': 4, 'ADP': 3, 'ADV': 1, 'SCONJ': 1, 'AUX': 1})",18,1.0,0,2,18,1
39,Tu mangeas les petits fruits dès que tu les eus cueillis,C2,5,56,11,4.181818181818182,"Counter({'NOUN': 3, 'ADP': 2, 'DET': 2, 'VERB': 2, 'ADJ': 1, 'SCONJ': 1})",10,0.9090909090909091,0,1,11,0
40,"Ben, on est tous débordés quoi.",A1,0,31,6,4.333333333333333,"Counter({'PUNCT': 2, 'PRON': 2, 'PROPN': 1, 'AUX': 1, 'ADJ': 1, 'VERB': 1})",6,1.0,1,1,6,0
41,"Un petit garçon : Ben trois dans un nid et dans l'autre, y'en a deux",A2,1,68,15,3.6,"Counter({'DET': 3, 'PRON': 3, 'NOUN': 2, 'PUNCT': 2, 'NUM': 2, 'ADP': 2, 'ADJ': 1, 'PROPN': 1, 'CCONJ': 1, 'VERB': 1})",14,0.9333333333333333,2,1,15,0
42,J'ai été en forme toute la matinée.,A2,1,35,7,4.142857142857143,"Counter({'AUX': 2, 'NOUN': 2, 'PRON': 1, 'ADP': 1, 'ADJ': 1, 'DET': 1, 'PUNCT': 1})",7,1.0,0,1,7,0
43,"L'ordinateur peut aussi répondre à des interruptions qui lui permettent d'exécuter des programmes de réponses spécifiques à chacune, puis de reprendre l'exécution séquentielle du programme interrompu.",C2,5,200,26,6.730769230769231,"Counter({'NOUN': 6, 'ADP': 6, 'VERB': 5, 'DET': 4, 'PRON': 3, 'ADJ': 2, 'PUNCT': 2, 'ADV': 1, 'CCONJ': 1, 'PROPN': 1})",23,0.8846153846153846,1,14,26,1
44,Il a plu et j'ai attendu l'autobus.,A2,1,35,7,4.142857142857143,"Counter({'PRON': 2, 'AUX': 2, 'VERB': 2, 'CCONJ': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 1})",7,1.0,0,1,7,0
45,"Dans d'autres cas il s'agit de limites relatives, basées sur un taux de croissance démographique de référence, valables là aussi uniquement hors centres ou pondérées en fonction du degré de centralité.",C2,5,201,31,5.516129032258065,"Counter({'ADP': 9, 'NOUN': 9, 'ADJ': 4, 'VERB': 3, 'PUNCT': 3, 'ADV': 3, 'DET': 2, 'PRON': 2, 'CCONJ': 1})",28,0.9032258064516129,2,10,31,1
46,C'est bien !,A1,0,12,3,3.3333333333333335,"Counter({'PRON': 1, 'AUX': 1, 'ADV': 1, 'PUNCT': 1})",3,1.0,0,0,3,0
47,"En 2007, moins de 8% des déchets des entreprises ont fait l'objet d'une collecte sélective.",B2,3,91,15,5.133333333333334,"Counter({'ADP': 5, 'NOUN': 4, 'NUM': 2, 'PUNCT': 2, 'DET': 2, 'ADJ': 2, 'ADV': 1, 'AUX': 1, 'VERB': 1})",14,0.9333333333333333,1,3,15,0
48,Les médecins des donneurs vous conseilleront volontiers dans un tel cas vous renseigneront par rapport aux dons de sang.,C1,4,120,19,5.368421052631579,"Counter({'NOUN': 6, 'ADP': 5, 'DET': 2, 'PRON': 2, 'VERB': 2, 'ADJ': 2, 'PUNCT': 1})",18,0.9473684210526315,0,5,19,1
49,Le plus inquiétant c'est que la Scandinavie avait déjà battu des records de chaleur pendant l'été 2018,A2,1,102,17,5.0588235294117645,"Counter({'NOUN': 4, 'DET': 3, 'ADP': 3, 'ADV': 2, 'ADJ': 2, 'PRON': 1, 'VERB': 1, 'SCONJ': 1, 'AUX': 1, 'NUM': 1})",17,1.0,0,2,17,1
50,J'aime le ski.,A1,0,14,3,4.0,"Counter({'PRON': 1, 'VERB': 1, 'DET': 1, 'ADJ': 1, 'PUNCT': 1})",3,1.0,0,0,3,0
51,"""Malheureusement, il semble désormais évident qu'il n'y a pas de voie pour obtenir une confirmation"", a écrit Neera Tanden à Joe Biden en retirant sa candidature",B2,3,161,26,5.230769230769231,"Counter({'PROPN': 5, 'VERB': 5, 'PUNCT': 4, 'PRON': 3, 'ADV': 3, 'DET': 3, 'NOUN': 3, 'ADP': 3, 'ADJ': 1, 'SCONJ': 1, 'AUX': 1})",25,0.9615384615384616,2,5,26,1
52,Pourquoi l'oisillon se retrouve-t-il seul dans la forêt ?,A1,0,57,9,5.444444444444445,"Counter({'PRON': 3, 'DET': 2, 'NOUN': 2, 'ADV': 1, 'VERB': 1, 'ADJ': 1, 'ADP': 1, 'PUNCT': 1})",9,1.0,0,3,9,0
53,Elle est née quel jour ?,A1,0,24,6,3.1666666666666665,"Counter({'PRON': 1, 'AUX': 1, 'VERB': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 1})",6,1.0,0,0,6,0
54,"Il existe effectivement, des êtres humains qui possèdent une quantité de pouvoir importante et qui contraignent l'humanité à travailler en créant un cercle vicieux qui fait du travail une nécessité pour accéder à ses propres désirs",C2,5,231,36,5.444444444444445,"Counter({'VERB': 8, 'NOUN': 7, 'DET': 6, 'ADP': 6, 'PRON': 4, 'ADJ': 4, 'ADV': 1, 'PUNCT': 1, 'CCONJ': 1})",32,0.8888888888888888,1,8,36,1
55,Une bouchée de : cette expression fait référence à la quantité d'un aliment qu'on met dans la bouche en une fois.,B1,2,113,21,4.428571428571429,"Counter({'NOUN': 7, 'DET': 6, 'ADP': 5, 'PUNCT': 2, 'VERB': 2, 'SCONJ': 1, 'PRON': 1})",20,0.9523809523809523,1,3,21,1
56,"Si tu respectait les indications plus sérieusement, tu trouverais plus facilement ton chemin à travers ces ruelles.",B2,3,115,17,5.823529411764706,"Counter({'ADV': 4, 'VERB': 3, 'NOUN': 3, 'DET': 2, 'PUNCT': 2, 'ADJ': 2, 'SCONJ': 1, 'PRON': 1, 'ADP': 1})",15,0.8823529411764706,1,6,17,1
57,"Aussitôt que Julie eut découvert la vérité, elle fut furieuse",C2,5,61,10,5.2,"Counter({'AUX': 2, 'ADV': 1, 'SCONJ': 1, 'PROPN': 1, 'VERB': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 1, 'PRON': 1, 'ADJ': 1})",10,1.0,1,3,10,0
58,Pile au moment où on a le plus besoin de réconfort,A2,1,50,11,3.6363636363636362,"Counter({'NOUN': 4, 'ADP': 2, 'PRON': 2, 'VERB': 1, 'DET': 1, 'ADV': 1})",11,1.0,0,1,11,0
59,"Le train, en son temps, était également craint. Brigitte Munier Les robots suscitent l'enthousiasme des Occidentaux, mais aussi leur angoisse: au lieu de les concevoir comme de simples outils ou, à la manière japonaise, tels d'amicaux auxiliaires, ils craignent des compétiteurs menaçant leur avenir.",C1,4,300,44,5.840909090909091,"Counter({'NOUN': 14, 'PUNCT': 9, 'DET': 8, 'ADP': 8, 'VERB': 4, 'ADJ': 4, 'ADV': 3, 'CCONJ': 2, 'PRON': 2, 'AUX': 1})",41,0.9318181818181818,7,13,44,1
60,Je viens d'emménager dans ma nouvelle maison.,A2,1,45,7,5.571428571428571,"Counter({'VERB': 2, 'ADP': 2, 'PRON': 1, 'DET': 1, 'ADJ': 1, 'NOUN': 1, 'PUNCT': 1})",7,1.0,0,2,7,0
61,"Et cette année, ça défile !",B1,2,27,6,3.6666666666666665,"Counter({'PUNCT': 2, 'CCONJ': 1, 'DET': 1, 'NOUN': 1, 'PRON': 1, 'ADJ': 1})",6,1.0,1,0,6,0
62,"Compte tenu de cette configuration, cette zone est peu adaptée à des mesures de terrain pour limiter la diffusion des campagnols terrestres ; les axes routiers ne représentant pas une barrière très forte pour cette espèce, on peut aussi penser qu'un tel résultat est un artéfact dû à la coupure artificielle d'une seule tache de prairie.",C1,4,337,56,5.035714285714286,"Counter({'NOUN': 15, 'DET': 11, 'ADP': 9, 'ADJ': 8, 'VERB': 5, 'ADV': 5, 'PUNCT': 4, 'AUX': 2, 'PRON': 1, 'SCONJ': 1})",47,0.8392857142857143,3,11,56,1
63,"Après mûre réflexion, la Commission européenne a eu une idée brillante: s'attaquer à un nouveau chantier, qui avait jusque-là bizarrement échappé à sa sagacité légendaire.",C1,4,171,25,5.88,"Counter({'DET': 5, 'NOUN': 5, 'PUNCT': 4, 'ADJ': 4, 'ADP': 3, 'VERB': 3, 'AUX': 2, 'PRON': 2, 'ADV': 2})",24,0.96,3,10,25,1
64,"Avec de l'expérience, le télévendeur peut devenir animateur d'un pôle de télévendeurs, superviseur d'équipe, chef de plateau.",B1,2,125,17,6.411764705882353,"Counter({'NOUN': 9, 'ADP': 6, 'PUNCT': 4, 'DET': 3, 'VERB': 2})",15,0.8823529411764706,3,7,17,1
65,"Et toi, qu'est-ce que tu vas faire ?",A2,1,36,8,3.625,"Counter({'PRON': 3, 'PUNCT': 2, 'VERB': 2, 'CCONJ': 1, 'NOUN': 1, 'AUX': 1, 'SCONJ': 1})",8,1.0,1,1,8,0
66,Les valorisations boursières des sociétés Internet comme AMAZON,C2,5,63,8,7.0,"Counter({'NOUN': 2, 'ADP': 2, 'PROPN': 2, 'DET': 1, 'ADJ': 1})",8,1.0,0,4,8,0
67,"Sur d'autres, on entendait une série de détonations, tandis que des contestataires scandaient: ""notre révolte doit réussir"".",C1,4,124,17,6.352941176470588,"Counter({'PUNCT': 6, 'DET': 4, 'VERB': 4, 'NOUN': 4, 'ADP': 2, 'ADJ': 1, 'PRON': 1, 'ADV': 1, 'SCONJ': 1})",17,1.0,3,6,17,1
68,Les baby-boomers en sont convaincus: tout peut recommencer à 50 ans.,C1,4,68,11,5.2727272727272725,"Counter({'NOUN': 4, 'PUNCT': 2, 'VERB': 2, 'DET': 1, 'PRON': 1, 'AUX': 1, 'PROPN': 1, 'ADV': 1, 'ADP': 1, 'NUM': 1})",11,1.0,1,3,11,0
69,"Rien n'était si beau, si leste, si brillant, si bien ordonné que les deux armées.",B1,2,81,15,4.466666666666667,"Counter({'NOUN': 4, 'PUNCT': 4, 'SCONJ': 4, 'ADV': 3, 'PROPN': 1, 'AUX': 1, 'VERB': 1, 'DET': 1, 'NUM': 1})",12,0.8,3,1,15,0
70,Comment t'appelles-tu ?,A1,0,23,3,7.0,"Counter({'NOUN': 3, 'ADV': 1, 'NUM': 1, 'PUNCT': 1})",3,1.0,0,1,3,0
71,"Largué par la sonde européenne Rosetta, le petit robot avait atterri mercredi en fin d'après-midi sur le noyau de la comète Tchourioumov-Guérassimenko, une première de l'histoire spatiale.",B2,3,188,27,6.0,"Counter({'NOUN': 9, 'ADP': 6, 'DET': 6, 'PROPN': 4, 'ADJ': 3, 'PUNCT': 3, 'VERB': 2, 'AUX': 1})",24,0.8888888888888888,2,8,27,1
72,"Elle pendit son linge au dossier d'une chaise, elle demeura debout, tournant, examinant les meubles, frappée d'une telle stupeur, que ses larmes ne coulaient plus ; il lui restait un sou sur les quatre sous gardés pour le lavoir. Puis, entendant rire à la fenêtre Étienne et Claude, déjà consolés, elle s'approcha, prit leurs têtes sous ses bras, s'oublia un instant devant cette chaussée grise, où elle avait vu, le matin, s'éveiller le peuple ouvrier, le travail géant de Paris ; à cette heure, le pavé échauffé par les besognes du jour allumait une réverbération ardente au-dessus de la ville, derrière le mur de l'octroi ; c'était sur ce pavé, dans cet air de fournaise, qu'on la jetait toute seule avec les petits et elle enfila d'un regard les boulevards extérieurs, à droite, à gauche, s'arrêtant aux deux bouts, prise d'une épouvante sourde, comme si sa vie, désormais, allait tenir là, entre un abattoir et un hôpital.",C2,5,927,157,4.910828025477707,"Counter({'NOUN': 40, 'DET': 33, 'PUNCT': 31, 'ADP': 27, 'VERB': 18, 'PRON': 15, 'ADV': 9, 'ADJ': 9, 'AUX': 3, 'SCONJ': 3, 'PROPN': 3, 'CCONJ': 3, 'NUM': 2})",124,0.7898089171974523,29,27,157,1
73,"Le sérum, qui a pâti de la comparaison avec ses concurrents Pfizer et Moderna, est désormais considéré comme aussi efficace pour prévenir le risque d'hospitalisation.",C1,4,166,25,5.68,"Counter({'NOUN': 5, 'ADP': 5, 'DET': 4, 'PUNCT': 3, 'ADV': 3, 'AUX': 2, 'PROPN': 2, 'VERB': 2, 'PRON': 1, 'CCONJ': 1, 'ADJ': 1})",25,1.0,2,8,25,1
74,"J'ai identifié trois peurs fondamentales du robot: la crainte instinctive du métal contre la chair, la crainte sociétale, presque désespérée du robot qui va voler le travail de l'homme, et, enfin, la crainte identitaire de voir le robot nous dépasser en capacités intellectuelles ou autres.",C2,5,290,45,5.466666666666667,"Counter({'NOUN': 12, 'ADP': 7, 'PUNCT': 7, 'DET': 7, 'VERB': 6, 'ADJ': 6, 'PRON': 3, 'ADV': 2, 'CCONJ': 2, 'AUX': 1, 'NUM': 1})",35,0.7777777777777778,6,10,45,1
75,Mais d'autres pourront préférer L'Assassin des échecs ou Les Annales du Kangourou (Editions du Kangourou) .,C2,5,107,16,5.75,"Counter({'DET': 3, 'PROPN': 3, 'ADP': 3, 'NOUN': 3, 'PUNCT': 3, 'CCONJ': 2, 'VERB': 2, 'ADJ': 1})",15,0.9375,0,7,16,1
76,Vous ferez de la randonnée ?,B1,2,28,6,3.8333333333333335,"Counter({'PRON': 1, 'VERB': 1, 'ADP': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 1})",6,1.0,0,1,6,0
77,il y a plus de 50 pays francophones !,A1,0,37,9,3.2222222222222223,"Counter({'PRON': 2, 'VERB': 1, 'ADV': 1, 'ADP': 1, 'NUM': 1, 'NOUN': 1, 'ADJ': 1, 'PUNCT': 1})",9,1.0,0,1,9,0
78,Ils ont déjà l'obligation de les ramener chez eux.,B1,2,50,9,4.666666666666667,"Counter({'PRON': 3, 'ADP': 2, 'AUX': 1, 'ADV': 1, 'DET': 1, 'NOUN': 1, 'VERB': 1, 'PUNCT': 1})",9,1.0,0,1,9,0
79,"Un autre : Oui, on leur a bien donné des noms",A2,1,45,11,3.1818181818181817,"Counter({'DET': 2, 'NOUN': 2, 'PUNCT': 2, 'PRON': 2, 'PROPN': 1, 'AUX': 1, 'ADV': 1, 'VERB': 1})",11,1.0,2,0,11,0
80,Vous joindrez à votre formulaire les pièces justificatives et documents sous format numérique.,B2,3,94,13,6.3076923076923075,"Counter({'NOUN': 4, 'ADP': 2, 'DET': 2, 'ADJ': 2, 'PRON': 1, 'VERB': 1, 'CCONJ': 1, 'PUNCT': 1})",13,1.0,0,5,13,0
81,"Merci, bon voyage.",A1,0,18,3,5.333333333333333,"Counter({'NOUN': 2, 'PUNCT': 2, 'ADJ': 1})",3,1.0,1,0,3,0
82,"Ce geste, presque insensible, lui fit courir, de la tête aux pieds, un grand frisson sur la peau, et, se tournant vivement, il se jeta sur elle, cherchant la bouche avec ses lèvres et la chair nue avec ses mains.",C2,5,212,40,4.325,"Counter({'PUNCT': 9, 'DET': 8, 'NOUN': 8, 'VERB': 6, 'ADP': 6, 'PRON': 5, 'ADJ': 3, 'ADV': 2, 'CCONJ': 2})",33,0.825,8,4,40,1
